ID,@dDevdCasZpravy,ID_iot_device,Created,Creator_DB,Changed,Changer_DB,actualStateSwitch1,actualStateSwitch2,@iDevdAverageCurrent,countSetSwitch1,countSetSwitch2,currentLimit,detectRain,disableCurrentLimit,disableTemperature,numberOfCycleDown,numberOfCycleUp,numberOfImpulseDown,numberOfImpulseUp,temperature,temperatureError,unitDataFrameError,unitVersionFrameError,unitVersionMajor,unitVersionMinor
641,2021-04-10 13:43:56.000,5,2021-04-10 13:59:52.080,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
642,2021-04-10 15:07:52.000,4,10.04.2021 15:59,sigfox_datafetch,10.04.2021 15:59,sigfox_datafetch,NULL,NULL,114,NULL,NULL,1320,0,0,0,5283,5308,496,343,19.600000,0,0,0,1,4
643,2021-04-12 12:57:04.000,3,2021-04-11 12:59:47.043,sigfox_datafetch,2021-04-12 12:59:42.000,sigfox_datafetch,NULL,NULL,81,NULL,NULL,808,0,0,0,12,12,22,30,18.400000,0,0,0,1,5
644,2021-04-11 13:43:37.000,5,11.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
645,2021-04-11 15:07:32.000,4,11.04.2021 15:59,sigfox_datafetch,11.04.2021 15:59,sigfox_datafetch,NULL,NULL,126,NULL,NULL,1320,0,0,0,5283,5308,518,343,17.000000,0,0,0,1,4
646,2021-04-13 12:56:46.000,3,2021-04-12 12:59:42.000,sigfox_datafetch,13.04.2021 12:59,sigfox_datafetch,NULL,NULL,84,NULL,NULL,807,0,0,0,12,12,22,30,18.900000,0,0,0,1,5
647,2021-04-12 13:43:19.000,5,12.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
648,2021-04-12 15:07:14.000,4,12.04.2021 15:59,sigfox_datafetch,12.04.2021 15:59,sigfox_datafetch,NULL,NULL,113,NULL,NULL,1320,0,0,0,5283,5308,535,343,21.500000,0,0,0,1,4
649,2021-04-14 12:56:30.000,3,13.04.2021 12:59,sigfox_datafetch,14.04.2021 12:59,sigfox_datafetch,NULL,NULL,89,NULL,NULL,807,0,0,0,12,12,22,30,19.500000,0,0,0,1,5
650,2021-04-13 13:43:01.000,5,13.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
651,2021-04-13 15:06:55.000,4,13.04.2021 15:59,sigfox_datafetch,13.04.2021 15:59,sigfox_datafetch,NULL,NULL,97,NULL,NULL,1320,0,0,0,5283,5308,539,344,17.300000,0,0,0,1,4
652,2021-04-15 12:56:09.000,3,14.04.2021 12:59,sigfox_datafetch,15.04.2021 12:59,sigfox_datafetch,NULL,NULL,78,NULL,NULL,808,0,0,0,12,12,22,30,18.300000,0,0,0,1,5
653,2021-04-14 13:42:42.000,5,14.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
654,2021-04-14 15:06:36.000,4,14.04.2021 15:59,sigfox_datafetch,14.04.2021 15:59,sigfox_datafetch,NULL,NULL,100,NULL,NULL,1320,0,0,0,5283,5308,545,344,19.100000,0,0,0,1,4
655,2021-04-16 12:55:51.000,3,15.04.2021 12:59,sigfox_datafetch,16.04.2021 12:59,sigfox_datafetch,NULL,NULL,82,NULL,NULL,807,0,0,0,12,12,22,30,18.600000,0,0,0,1,5
656,2021-04-15 13:42:25.000,5,15.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
657,2021-04-15 15:06:18.000,4,15.04.2021 15:59,sigfox_datafetch,15.04.2021 15:59,sigfox_datafetch,NULL,NULL,105,NULL,NULL,1320,0,0,0,5283,5308,550,361,17.600000,0,0,0,1,4
658,2021-04-17 12:55:33.000,3,16.04.2021 12:59,sigfox_datafetch,17.04.2021 12:59,sigfox_datafetch,NULL,NULL,89,NULL,NULL,807,0,0,0,12,12,22,30,17.900000,0,0,0,1,5
