@ID,@dDevdCasZpravy,ID_iot_device,@iDevdAverageCurrent
1141,20:25.0,5,NULL
1142,59:16.0,3,84
1143,20:06.0,5,NULL
1144,58:57.0,3,90
1145,19:48.0,5,NULL
1146,19:30.0,5,NULL
1147,58:27.0,3,93
1148,19:11.0,5,NULL
1149,58:04.0,3,179
1150,18:54.0,5,NULL
1151,57:15.0,3,244
1152,18:35.0,5,NULL
1153,18:17.0,5,NULL
1154,56:52.0,3,86
1155,18:01.0,5,NULL
1156,17:41.0,5,NULL
1157,17:22.0,5,NULL
1158,56:20.0,3,82
1159,17:04.0,5,NULL
1160,16:45.0,5,NULL
1161,55:39.0,3,83
1162,16:27.0,5,NULL
1163,55:35.0,3,0
1164,16:09.0,5,NULL
1165,15:51.0,5,NULL
1166,54:11.0,3,87
1167,15:33.0,5,NULL
1168,15:15.0,5,NULL
1169,53:51.0,3,78
1170,14:56.0,5,NULL
1171,53:34.0,3,74
1172,14:38.0,5,NULL
1173,14:22.0,5,NULL
1174,53:00.0,3,84
1175,14:01.0,5,NULL
1176,13:43.0,5,NULL
1177,52:42.0,3,83
1178,13:25.0,5,NULL
1179,52:23.0,3,79
1180,13:07.0,5,NULL
1181,52:03.0,3,87
1182,12:48.0,5,NULL
1183,51:45.0,3,84
1184,12:30.0,5,NULL
1185,51:27.0,3,88
1186,12:12.0,5,NULL
1187,51:09.0,3,85
1188,11:54.0,5,NULL
1189,51:00.0,3,0
1190,11:35.0,5,NULL
1191,11:17.0,5,NULL
1192,10:59.0,5,NULL
1193,10:40.0,5,NULL
1194,10:22.0,5,NULL
1195,49:35.0,3,0
1196,10:04.0,5,NULL
1197,09:45.0,5,NULL
1198,09:27.0,5,NULL
1199,48:36.0,3,0
1200,09:08.0,5,NULL
1201,08:51.0,5,NULL
1202,08:32.0,5,NULL
1203,08:14.0,5,NULL
1204,07:55.0,5,NULL
1205,07:37.0,5,NULL
1206,07:18.0,5,NULL
1207,19:27.0,3,87
1208,07:03.0,5,NULL
1209,06:43.0,5,NULL
1210,19:15.0,3,0
1211,06:24.0,5,NULL
1212,18:27.0,3,86
1213,06:06.0,5,NULL
1214,18:09.0,3,89
1215,05:47.0,5,NULL
1216,18:21.0,3,0
1217,05:29.0,5,NULL
1218,17:33.0,3,228
1219,05:11.0,5,NULL
1220,17:15.0,3,92
1221,04:52.0,5,NULL
1222,17:00.0,3,84
1223,04:34.0,5,NULL
1224,16:41.0,3,86
1225,04:16.0,5,NULL
1226,15:09.0,3,91
1227,03:57.0,5,NULL
1228,03:39.0,5,NULL
1229,03:21.0,5,NULL
1230,03:03.0,5,NULL
1231,02:44.0,5,NULL
1232,14:54.0,3,91
1233,02:25.0,5,NULL
1234,14:33.0,3,87
1235,02:07.0,5,NULL
1236,13:59.0,3,89
1237,01:50.0,5,NULL
1238,01:31.0,5,NULL
1239,13:26.0,3,87
1240,01:13.0,5,NULL
1241,00:54.0,5,NULL
1242,00:36.0,5,NULL
1243,13:05.0,3,91
1244,00:17.0,5,NULL
1245,59:59.0,5,NULL
1246,02:41.0,3,0
1247,59:41.0,5,NULL
1248,02:22.0,3,89
1249,59:23.0,5,NULL
1250,02:31.0,3,0
1251,59:04.0,5,NULL
1252,58:46.0,5,NULL
1253,01:33.0,3,83
1254,58:27.0,5,NULL
1255,01:16.0,3,84
1256,58:09.0,5,NULL
1257,01:19.0,3,0
1258,57:51.0,5,NULL
1259,00:37.0,3,91
1260,57:34.0,5,NULL
1261,57:14.0,5,NULL
1262,00:21.0,3,89
1263,56:55.0,5,NULL
1264,00:06.0,3,0
1265,56:37.0,5,NULL
1266,56:19.0,5,NULL
1267,58:45.0,3,84
1268,56:01.0,5,NULL
1269,55:42.0,5,NULL
1270,58:59.0,3,0
1271,55:24.0,5,NULL
1272,58:41.0,3,0
1273,34:40.0,5,NULL
1274,57:54.0,3,89
1275,34:22.0,5,NULL
1276,57:35.0,3,87
1277,34:04.0,5,NULL
1278,57:42.0,3,0
1279,33:45.0,5,NULL
1280,33:27.0,5,NULL
1281,33:08.0,5,NULL
1282,56:01.0,3,89
1283,32:50.0,5,NULL
1284,32:32.0,5,NULL
1285,55:44.0,3,229
1286,32:13.0,5,NULL
1287,31:55.0,5,NULL
1288,55:26.0,3,90
1289,31:37.0,5,NULL
1290,55:10.0,3,83
1291,31:18.0,5,NULL
1292,54:49.0,3,88
1293,31:01.0,5,NULL
1294,54:37.0,3,85
1295,30:42.0,5,NULL
1296,30:24.0,5,NULL
1297,53:57.0,3,85
1298,30:05.0,5,NULL
1299,53:19.0,3,88
1300,29:47.0,5,NULL
1301,53:05.0,3,88
1302,29:28.0,5,NULL
1303,52:43.0,3,90
1304,29:10.0,5,NULL
1305,52:27.0,3,87
1306,28:52.0,5,NULL
1307,52:08.0,3,86
1308,36:11.0,5,NULL
1309,51:51.0,3,86
1310,36:03.0,5,NULL
1311,51:30.0,3,86
1312,35:56.0,5,NULL
1313,52:12.0,5,NULL
1314,51:17.0,3,88
1315,52:12.0,5,NULL
1316,52:13.0,5,NULL
1317,50:54.0,3,89
1318,52:09.0,5,NULL
1319,52:08.0,5,NULL
1320,50:17.0,3,89
1321,52:07.0,5,NULL
1322,52:05.0,5,NULL
1323,49:43.0,3,84
1324,52:04.0,5,NULL
1325,49:23.0,3,90
1326,52:03.0,5,NULL
1327,49:05.0,3,90
1328,52:02.0,5,NULL
1329,48:46.0,3,91
1330,52:01.0,5,NULL
1331,48:28.0,3,91
1332,52:02.0,5,NULL
1333,48:10.0,3,88
1334,52:00.0,5,NULL
1335,48:01.0,3,0
1336,51:57.0,5,NULL
1337,51:56.0,5,NULL
1338,51:54.0,5,NULL
1339,46:39.0,3,83
